text,label,spacy_label
"injection, lidocaine hcl for intravenous infusion, 10 mg",,lidocaine hcl intravenous
control of nasal bleeding using an endoscope,bleeding nasal,nasal
removal of bone joints between wrist and fingers,,bone joints
transplant of tendon of hand,tendon,
"application of non-moveable, short arm splint (forearm to hand)",,forearm
"cast supplies, short arm splint, adult (11 years +), fiberglass",,
"repair of wound (5.1 to 7.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth",,wound eyelids
tissue fungi or parasites,,tissue fungi
"injection, fosaprepitant, 1 mg",,
"injection, ranitidine hydrochloride, 25 mg",,ranitidine hydrochloride
"injection, potassium chloride, per 2 meq",,potassium chloride
examination of the nose and throat using an endoscope,,nose
removal of skin and bone first 20 sq cm or less,,skin bone
removal of skin and bone,,skin bone
insertion of needle or catheter into an artery of arm or leg,artery needle catheter,artery
ultrasound evaluation of heart blood vessel or graft,ultrasound heart,heart blood vessel graft
insertion of catheter in right and left heart for imaging of blood vessels or grafts and left lower heart,catheter heart,heart blood vessels grafts heart
drug infusion during cardiac catheterization,catheterization,cardiac
biopsy of uterine lining,biopsy,biopsy uterine
injection of contrast through abdominal cavity catheter for x-ray study,catheter abdominal contrast injection,abdominal cavity
incisional biopsy of single skin lesion,biopsy,skin
"shaving of 0.5 centimeters or less skin growth of the trunk, arms, or legs",,skin trunk legs
"repair of wound (2.5 centimeters or less) of the face, ears, eyelids, nose, lips, and/or mucous membranes",,wound eyelids mucous membranes
insertion of probe in esophagus for heart ultrasound examination,ultrasound esophagus heart,esophagus heart
thyroid hormone evaluation,,thyroid
coagulation assessment blood test,,blood
detection test for influenza b virus,,
detection test for influenza a virus,,
travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge,,patient
anesthesia for procedure on pubic bone or sacroiliac joint,anesthesia,pubic bone
osteopathic manipulative treatment to 5-6 body regions,,5-6
comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service),,patients
punch biopsy of additional skin lesion,biopsy,punch biopsy skin
"psychological or neuropsychological test administration and scoring by technician, first 30 minutes",,
"psychological or neuropsychological test administration and scoring by technician, additional 30 minutes",,
computer-assisted surgical navigational procedure for bone procedures,,bone
calcium level,,calcium
urine calcium level,,urine calcium
"total protein level, blood",,blood
measurement of complement (immune system proteins),,
measurement of antibody for rheumatoid arthritis assessment,,
measurement of dna antibody,,dna antibody
measurement of antibody for assessment of autoimmune disorder,,
"family psychotherapy, 50 minutes",,
"family psychotherapy including patient, 50 minutes",,patient
"hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",,intra-articular
repair of herniation of bladder into vaginal wall,bladder,bladder
vaginal repair of pelvic ligaments,,pelvic ligaments
vaginal defect repair using an endoscope,,
"electronic analysis of implanted brain, spinal cord or peripheral stimulation device with simple spinal cord or peripheral nerve stimulator programming",nerve,brain peripheral spinal cord peripheral nerve
kidney function blood test panel,,kidney blood
"total protein level, urine",,urine
removal or destruction of growth in nose,,
dilation of nasal sinus using an endoscope,nasal,nasal sinus
"incision, aspiration, and/or inflation of eardrum",,eardrum
incision of ear canal with release of scar tissue,incision,ear canal scar tissue
"incision of fluid canals of inner ear with infusion of drugs, transcanal approach",incision,ear
"x-ray of mandible, less than 4 views",,mandible
"x-ray of teeth, less than full mouth",,teeth
ct scan of neck before and after contrast,ct contrast neck,
removal of one lobe of lung,,lobe lung
partial removal of tissue of one lung using an endoscope,,tissue lung
"x-ray of bones of face, minimum of 3 views",,bones
"x-ray of paranasal sinus, complete, minimum of 3 views",,paranasal sinus
"x-ray of skull, less than 4 views",,skull
"x-ray of both sides of the ribs including the chest, minimum of 4 views",,ribs
x-ray of collar bone,,collar bone
set-up portable x-ray equipment,,
"transportation of portable x-ray equipment and personnel to home or nursing home, per trip to facility or location, one patient seen",,patient
"transportation of portable x-ray equipment and personnel to home or nursing home, per trip to facility or location, more than one patient seen",,patient
incision and drainage of eyelid abscess,incision,eyelid abscess
repair of tendon of upper eyelid,tendon,
extensive repair of turning-outward eyelid defect,,eyelid
enlargement of eyelid margin,,eyelid margin
reconstruction of conjunctiva,,conjunctiva
creation of drainage tract from tear sac to the nasal cavity,nasal,sac nasal cavity
probing of nasal-tear duct with insertion of tube or stent,tube,duct tube
probing of nasal-tear duct,,
nuclear medicine study of liver,,nuclear liver
nuclear medicine study of bone and/or joint,,nuclear bone joint
repair of hernia of muscle at esophagus and stomach with implantation of mesh using an endoscope,hernia esophagus stomach,muscle esophagus stomach
assessment and recording of abnormal eye movement while tracking moving object,eye,eye
"preparation of graft site at trunk, arms, or legs (first 100 sq cm or 1% body area infants and children)",,graft trunk legs children
muscle flap wound repair at trunk,,muscle trunk
injection of agent into vein to assess blood flow of skin graft or flap,injection,blood skin graft
removal of pressure sore and bone at sacrum in preparation of muscle flap or skin graft,,bone sacrum muscle skin graft
"negative pressure wound therapy, surface area less than or equal to 50 square centimeters, per session",,wound surface
"negative pressure wound therapy, surface area greater than 50 square centimeters, per session",,wound surface
insertion of probe in esophagus for congenital heart ultrasound examination with interpretation and report,ultrasound esophagus heart,esophagus heart
"injection, testosterone cypionate, 1 mg",,testosterone cypionate
repair of left upper heart,heart,heart
"insertion of hardware to broken thigh bone, accessed through the skin",,thigh bone skin
diagnostic examination of the anus using an endoscope,,anus
harvest of bone for spine surgery graft,surgery spine,bone spine graft
microscopic examination for white blood cells with manual cell count,,blood cells cell
"injection, darbepoetin alfa, 1 microgram (non-esrd use)",,"darbepoetin alfa, 1 microgram"
"injection, granisetron hydrochloride, 100 mcg",,granisetron hydrochloride
unclassified drugs,,
measurement of largest amount of air breathed in an out of lungs over one minute,,lungs
"subsequent observation care, typically 15 minutes per day",,
test for exercise-induced heart and lung stress,heart,heart lung
"wheelchair management, each 15 minutes",,
"injection, doxorubicin hydrochloride, 10 mg",,doxorubicin hydrochloride
"cyclophosphamide, 100 mg",,cyclophosphamide
insertion of catheter into vein,catheter,
"cerebrospinal fluid, or amniotic fluid albumin (protein) level",,cerebrospinal fluid amniotic fluid albumin
incision of pancreatic outlet muscle using an endoscope,incision,pancreatic outlet muscle
mechanical separation of white blood cells and platelets from blood,,blood cells platelets
clinical pathology consultation,,
coagulation function screening test with interpretation and report,,
platelet function test,,platelet
"neurobehavioral status examination by qualified health care professional with interpretation and report, additional 60 minutes",,
